date,week,weekday,month,count,burnt_area_km2
2020-01-05,27,Sun,Jan 2020,9.0,0.9
2020-01-06,28,Mon,Jan 2020,75.0,8941.7
2020-01-07,28,Tue,Jan 2020,10.0,2.3
2020-01-08,28,Wed,Jan 2020,8.0,40.2
2020-01-09,28,Thu,Jan 2020,24.0,184.2
2020-01-10,28,Fri,Jan 2020,7.0,99.2
2020-01-11,28,Sat,Jan 2020,1.0,0.0
2020-01-12,28,Sun,Jan 2020,3.0,0.0
2020-01-13,29,Mon,Jan 2020,4.0,55.9
2020-01-14,29,Tue,Jan 2020,6.0,9.8
2020-01-15,29,Wed,Jan 2020,23.0,4.4
2020-01-16,29,Thu,Jan 2020,2.0,0.6
2020-01-17,29,Fri,Jan 2020,7.0,3.1
2020-01-18,29,Sat,Jan 2020,8.0,0.8
2020-01-19,29,Sun,Jan 2020,6.0,0.3
2020-01-20,30,Mon,Jan 2020,4.0,2.0
2020-01-21,30,Tue,Jan 2020,6.0,39.9
2020-01-22,30,Wed,Jan 2020,13.0,300.8
2020-01-23,30,Thu,Jan 2020,3.0,110.4
2020-01-24,30,Fri,Jan 2020,3.0,14.5
2020-01-25,30,Sat,Jan 2020,22.0,129.8
2020-01-26,30,Sun,Jan 2020,10.0,878.4
2020-01-27,31,Mon,Jan 2020,5.0,0.1
2020-01-28,31,Tue,Jan 2020,15.0,60.7
2020-01-29,31,Wed,Jan 2020,9.0,13.9
2020-01-30,31,Thu,Jan 2020,48.0,133.7
2020-01-31,31,Fri,Jan 2020,7.0,3.7
2020-02-01,31,Sat,Feb 2020,3.0,0.2
2020-02-02,31,Sun,Feb 2020,12.0,46.6
2020-02-03,32,Mon,Feb 2020,10.0,95.7
2020-02-04,32,Tue,Feb 2020,6.0,0.2
2020-02-05,32,Wed,Feb 2020,33.0,150.0
2020-02-06,32,Thu,Feb 2020,25.0,30470.0
2020-02-07,32,Fri,Feb 2020,7.0,47.9
2020-02-08,32,Sat,Feb 2020,6.0,0.1
